metric,value,category,model
ARI_leiden_vs_label,0.23111633573311446,global,immune_burst_prior_int1_small
NMI_leiden_vs_label,0.5836073691708566,global,immune_burst_prior_int1_small
iLISI_median,10.750445723023773,global,immune_burst_prior_int1_small
iLISI_mean,12.121735120983756,global,immune_burst_prior_int1_small
cLISI_median,1.6827784103895302,global,immune_burst_prior_int1_small
cLISI_mean,1.9529087963030887,global,immune_burst_prior_int1_small
LISI_subsample_n,32826.0,global,immune_burst_prior_int1_small
silhouette_batch_bone_marrow,-0.008702728257217908,per_study,immune_burst_prior_int1_small
silhouette_batch_crohns_pbmc,0.0020334394894961443,per_study,immune_burst_prior_int1_small
silhouette_batch_lung_spleen_gse319044,0.0068033737889702395,per_study,immune_burst_prior_int1_small
silhouette_label,0.0050246603958667875,global,immune_burst_vbs2_int1_large
silhouette_batch,-0.007580098966990599,global,immune_burst_vbs2_int1_large
ARI_leiden_vs_label,0.36859727716876867,global,immune_burst_vbs2_int1_large
NMI_leiden_vs_label,0.5882629724344115,global,immune_burst_vbs2_int1_large
iLISI_median,12.773978116468882,global,immune_burst_vbs2_int1_large
iLISI_mean,13.214602277965128,global,immune_burst_vbs2_int1_large
cLISI_median,2.460699533436422,global,immune_burst_vbs2_int1_large
cLISI_mean,2.7876436614590663,global,immune_burst_vbs2_int1_large
LISI_subsample_n,32826.0,global,immune_burst_vbs2_int1_large
silhouette_batch_bone_marrow,-0.011124903706160877,per_study,immune_burst_vbs2_int1_large
silhouette_batch_crohns_pbmc,-0.0036799305873984815,per_study,immune_burst_vbs2_int1_large
silhouette_batch_lung_spleen_gse319044,0.0008097527253831423,per_study,immune_burst_vbs2_int1_large
silhouette_label,0.014107329491076973,global,immune_burst_vbs2_int1_small
silhouette_batch,-0.0024166836007287235,global,immune_burst_vbs2_int1_small
ARI_leiden_vs_label,0.2274447247770226,global,immune_burst_vbs2_int1_small
NMI_leiden_vs_label,0.5784848504010328,global,immune_burst_vbs2_int1_small
iLISI_median,10.416967543428083,global,immune_burst_vbs2_int1_small
iLISI_mean,12.030825123132526,global,immune_burst_vbs2_int1_small
cLISI_median,1.6172560987437146,global,immune_burst_vbs2_int1_small
cLISI_mean,1.8833468105964384,global,immune_burst_vbs2_int1_small
LISI_subsample_n,32826.0,global,immune_burst_vbs2_int1_small
silhouette_batch_bone_marrow,-0.008022239825751877,per_study,immune_burst_vbs2_int1_small
silhouette_batch_crohns_pbmc,0.003993775729279382,per_study,immune_burst_vbs2_int1_small
silhouette_batch_lung_spleen_gse319044,0.0070208242940824435,per_study,immune_burst_vbs2_int1_small
silhouette_label,0.003759995959641676,global,immune_burst_vbs_int001_large
silhouette_batch,-0.009012371107072387,global,immune_burst_vbs_int001_large
