gsm_id	sample_id	filename	data_type	url	size_mb	gse_id
GSM8392654	NIH01,_control	GSM8392654_NIH01_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392654/suppl/GSM8392654_NIH01_atac_fragments.tsv.gz	1351.8	GSE272082
GSM8392655	NIH02,_control	GSM8392655_NIH02_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392655/suppl/GSM8392655_NIH02_atac_fragments.tsv.gz	1754.3	GSE272082
GSM8392656	NIH03,_control	GSM8392656_NIH03_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392656/suppl/GSM8392656_NIH03_atac_fragments.tsv.gz	1623.8	GSE272082
GSM8392657	NIH04,_control	GSM8392657_NIH04_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392657/suppl/GSM8392657_NIH04_atac_fragments.tsv.gz	1227.1	GSE272082
GSM8392658	NIH05,_control	GSM8392658_NIH05_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392658/suppl/GSM8392658_NIH05_atac_fragments.tsv.gz	1909.3	GSE272082
GSM8392659	NIH06,_control	GSM8392659_NIH06_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392659/suppl/GSM8392659_NIH06_atac_fragments.tsv.gz	2002.4	GSE272082
GSM8392660	NIH10,_sEOAD	GSM8392660_NIH10_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392660/suppl/GSM8392660_NIH10_atac_fragments.tsv.gz	1291.0	GSE272082
GSM8392661	NIH11,_sEOAD	GSM8392661_NIH11_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392661/suppl/GSM8392661_NIH11_atac_fragments.tsv.gz	1923.8	GSE272082
GSM8392662	NIH12,_sEOAD	GSM8392662_NIH12_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392662/suppl/GSM8392662_NIH12_atac_fragments.tsv.gz	1824.5	GSE272082
GSM8392663	NIH13,_sEOAD	GSM8392663_NIH13_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8392nnn/GSM8392663/suppl/GSM8392663_NIH13_atac_fragments.tsv.gz	1197.8	GSE272082
