gsm_id	sample_id	filename	data_type	url	size_mb	gse_id
GSM9037754	Seq_of_008_012_015_pooled_whole	GSM9037754_PT2_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037754/suppl/GSM9037754_PT2_RNA_barcodes.tsv.gz	2.4	GSE299348
GSM9037754	Seq_of_008_012_015_pooled_whole	GSM9037754_PT2_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037754/suppl/GSM9037754_PT2_RNA_features.tsv.gz	0.3	GSE299348
GSM9037754	Seq_of_008_012_015_pooled_whole	GSM9037754_PT2_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037754/suppl/GSM9037754_PT2_RNA_matrix.mtx.gz	134.0	GSE299348
GSM9037755	Seq_of_017_023_027_029_pooled_whole	GSM9037755_PT3_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037755/suppl/GSM9037755_PT3_RNA_barcodes.tsv.gz	2.4	GSE299348
GSM9037755	Seq_of_017_023_027_029_pooled_whole	GSM9037755_PT3_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037755/suppl/GSM9037755_PT3_RNA_features.tsv.gz	0.3	GSE299348
GSM9037755	Seq_of_017_023_027_029_pooled_whole	GSM9037755_PT3_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037755/suppl/GSM9037755_PT3_RNA_matrix.mtx.gz	135.4	GSE299348
GSM9037756	Seq_of_361_pooled_whole	GSM9037756_PT4_RNA_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037756/suppl/GSM9037756_PT4_RNA_barcodes.tsv.gz	2.4	GSE299348
GSM9037756	Seq_of_361_pooled_whole	GSM9037756_PT4_RNA_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037756/suppl/GSM9037756_PT4_RNA_features.tsv.gz	0.3	GSE299348
GSM9037756	Seq_of_361_pooled_whole	GSM9037756_PT4_RNA_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037756/suppl/GSM9037756_PT4_RNA_matrix.mtx.gz	101.9	GSE299348
GSM9037757	Seq_of_PLWH008_A_CD3	GSM9037757_B008A_ATAC_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037757/suppl/GSM9037757_B008A_ATAC_atac_fragments.tsv.gz	1903.5	GSE299348
GSM9037757	Seq_of_PLWH008_A_CD3	GSM9037757_B008A_ATAC_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037757/suppl/GSM9037757_B008A_ATAC_barcodes.tsv.gz	2.4	GSE299348
GSM9037757	Seq_of_PLWH008_A_CD3	GSM9037757_B008A_ATAC_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037757/suppl/GSM9037757_B008A_ATAC_features.tsv.gz	2.5	GSE299348
GSM9037757	Seq_of_PLWH008_A_CD3	GSM9037757_B008A_ATAC_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037757/suppl/GSM9037757_B008A_ATAC_matrix.mtx.gz	278.3	GSE299348
GSM9037758	Seq_of_PLWH008_B_CD3	GSM9037758_B008B_ATAC_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM9037nnn/GSM9037758/suppl/GSM9037758_B008B_ATAC_atac_fragments.tsv.gz	2366.2	GSE299348
