gsm_id	sample_id	filename	data_type	url	size_mb	gse_id
GSM7898955	CD-1813-5,_Chron's_Disease,_Patient_1_(inflammed)	GSM7898955_CD-1813-5_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898955/suppl/GSM7898955_CD-1813-5_barcodes.tsv.gz	0.0	GSE247692
GSM7898955	CD-1813-5,_Chron's_Disease,_Patient_1_(inflammed)	GSM7898955_CD-1813-5_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898955/suppl/GSM7898955_CD-1813-5_features.tsv.gz	0.3	GSE247692
GSM7898955	CD-1813-5,_Chron's_Disease,_Patient_1_(inflammed)	GSM7898955_CD-1813-5_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898955/suppl/GSM7898955_CD-1813-5_matrix.mtx.gz	13.1	GSE247692
GSM7898956	CD-1813-7,_Chron's_Disease,_Patient_1_(non-inflammed)	GSM7898956_CD-1813-7_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898956/suppl/GSM7898956_CD-1813-7_barcodes.tsv.gz	0.0	GSE247692
GSM7898956	CD-1813-7,_Chron's_Disease,_Patient_1_(non-inflammed)	GSM7898956_CD-1813-7_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898956/suppl/GSM7898956_CD-1813-7_features.tsv.gz	0.3	GSE247692
GSM7898956	CD-1813-7,_Chron's_Disease,_Patient_1_(non-inflammed)	GSM7898956_CD-1813-7_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898956/suppl/GSM7898956_CD-1813-7_matrix.mtx.gz	6.8	GSE247692
GSM7898957	CD-1818-4,_Chron's_Disease,_Patient_2_(inflamed)	GSM7898957_CD-1818-4_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898957/suppl/GSM7898957_CD-1818-4_barcodes.tsv.gz	0.0	GSE247692
GSM7898957	CD-1818-4,_Chron's_Disease,_Patient_2_(inflamed)	GSM7898957_CD-1818-4_features.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898957/suppl/GSM7898957_CD-1818-4_features.tsv.gz	0.3	GSE247692
GSM7898957	CD-1818-4,_Chron's_Disease,_Patient_2_(inflamed)	GSM7898957_CD-1818-4_matrix.mtx.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898957/suppl/GSM7898957_CD-1818-4_matrix.mtx.gz	16.4	GSE247692
GSM7898958	CD-1818-6,_Chron's_Disease,_Patient_2_(non-inflammed)	GSM7898958_CD-1818-6_barcodes.tsv.gz	rna_mtx	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7898nnn/GSM7898958/suppl/GSM7898958_CD-1818-6_barcodes.tsv.gz	0.0	GSE247692
