gsm_id	sample_id	filename	data_type	url	size_mb	gse_id
GSM8549615	hc77_ATAC	GSM8549615_hc77_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549615/suppl/GSM8549615_hc77_atac_fragments.tsv.gz	1249.2	GSE278576
GSM8549616	hc78_ATAC	GSM8549616_hc78_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549616/suppl/GSM8549616_hc78_atac_fragments.tsv.gz	1999.0	GSE278576
GSM8549617	hc5579_ATAC	GSM8549617_hc5579_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549617/suppl/GSM8549617_hc5579_atac_fragments.tsv.gz	3152.0	GSE278576
GSM8549618	hc76_ATAC	GSM8549618_hc76_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549618/suppl/GSM8549618_hc76_atac_fragments.tsv.gz	1328.2	GSE278576
GSM8549619	hc29_ATAC	GSM8549619_hc29_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549619/suppl/GSM8549619_hc29_atac_fragments.tsv.gz	1147.6	GSE278576
GSM8549620	hc6052_ATAC	GSM8549620_hc6052_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549620/suppl/GSM8549620_hc6052_atac_fragments.tsv.gz	922.8	GSE278576
GSM8549621	hc5614_ATAC	GSM8549621_hc5614_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549621/suppl/GSM8549621_hc5614_atac_fragments.tsv.gz	2498.1	GSE278576
GSM8549622	hc13344_ATAC	GSM8549622_hc13344_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549622/suppl/GSM8549622_hc13344_atac_fragments.tsv.gz	1667.5	GSE278576
GSM8549623	hc935_ATAC	GSM8549623_hc935_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549623/suppl/GSM8549623_hc935_atac_fragments.tsv.gz	2390.2	GSE278576
GSM8549624	hc937_ATAC	GSM8549624_hc937_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8549nnn/GSM8549624/suppl/GSM8549624_hc937_atac_fragments.tsv.gz	2459.5	GSE278576
