gsm_id	sample_id	filename	data_type	url	size_mb	gse_id
GSM7729446	Male,_smoker,_subject1	GSM7729446_MS1_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729446/suppl/GSM7729446_MS1_raw_feature_bc_matrix.h5	277.8	GSE241468
GSM7729447	Male,_smoker,_subject2	GSM7729447_MS2_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729447/suppl/GSM7729447_MS2_raw_feature_bc_matrix.h5	214.1	GSE241468
GSM7729448	Male,_smoker,_subject3	GSM7729448_MS3_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729448/suppl/GSM7729448_MS3_raw_feature_bc_matrix.h5	217.2	GSE241468
GSM7729449	Male,_smoker,_subject4	GSM7729449_MS4_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729449/suppl/GSM7729449_MS4_raw_feature_bc_matrix.h5	292.6	GSE241468
GSM7729450	Male,_never-smoker,_subject1	GSM7729450_MN1_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729450/suppl/GSM7729450_MN1_raw_feature_bc_matrix.h5	181.0	GSE241468
GSM7729451	Male,_never-smoker,_subject2	GSM7729451_MN2_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729451/suppl/GSM7729451_MN2_raw_feature_bc_matrix.h5	217.0	GSE241468
GSM7729452	Male,_never-smoker,_subject3	GSM7729452_MN3_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729452/suppl/GSM7729452_MN3_raw_feature_bc_matrix.h5	222.4	GSE241468
GSM7729453	Male,_never-smoker,_subject4	GSM7729453_MN4_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729453/suppl/GSM7729453_MN4_raw_feature_bc_matrix.h5	274.1	GSE241468
GSM7729454	Female,_smoker,_subject1	GSM7729454_FS1_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729454/suppl/GSM7729454_FS1_raw_feature_bc_matrix.h5	204.6	GSE241468
GSM7729455	Female,_smoker,_subject2	GSM7729455_FS2_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729455/suppl/GSM7729455_FS2_raw_feature_bc_matrix.h5	282.1	GSE241468
GSM7729456	Female,_smoker,_subject3	GSM7729456_FS3_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729456/suppl/GSM7729456_FS3_raw_feature_bc_matrix.h5	204.5	GSE241468
GSM7729457	Female,_smoker,_subject4	GSM7729457_FS4_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729457/suppl/GSM7729457_FS4_raw_feature_bc_matrix.h5	223.6	GSE241468
GSM7729458	Female,_never-smoker,_subject1	GSM7729458_FN1_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729458/suppl/GSM7729458_FN1_raw_feature_bc_matrix.h5	186.1	GSE241468
GSM7729459	Female,_never-smoker,_subject2	GSM7729459_FN2_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729459/suppl/GSM7729459_FN2_raw_feature_bc_matrix.h5	262.9	GSE241468
GSM7729460	Female,_never-smoker,_subject3	GSM7729460_FN3_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729460/suppl/GSM7729460_FN3_raw_feature_bc_matrix.h5	188.2	GSE241468
GSM7729461	Female,_never-smoker,_subject4	GSM7729461_FN4_raw_feature_bc_matrix.h5	rna_h5	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729461/suppl/GSM7729461_FN4_raw_feature_bc_matrix.h5	94.2	GSE241468
GSM7729462	Male,_smoker,_subject1	GSM7729462_MS1_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729462/suppl/GSM7729462_MS1_atac_fragments.tsv.gz	4206.3	GSE241468
GSM7729463	Male,_smoker,_subject2	GSM7729463_MS2_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729463/suppl/GSM7729463_MS2_atac_fragments.tsv.gz	5573.9	GSE241468
GSM7729464	Male,_smoker,_subject3	GSM7729464_MS3_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729464/suppl/GSM7729464_MS3_atac_fragments.tsv.gz	4996.5	GSE241468
GSM7729465	Male,_smoker,_subject4	GSM7729465_MS4_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729465/suppl/GSM7729465_MS4_atac_fragments.tsv.gz	4950.1	GSE241468
GSM7729466	Male,_never-smoker,_subject1	GSM7729466_MN1_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729466/suppl/GSM7729466_MN1_atac_fragments.tsv.gz	2750.6	GSE241468
GSM7729467	Male,_never-smoker,_subject2	GSM7729467_MN2_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729467/suppl/GSM7729467_MN2_atac_fragments.tsv.gz	4843.8	GSE241468
GSM7729468	Male,_never-smoker,_subject3	GSM7729468_MN3_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729468/suppl/GSM7729468_MN3_atac_fragments.tsv.gz	5239.6	GSE241468
GSM7729469	Male,_never-smoker,_subject4	GSM7729469_MN4_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729469/suppl/GSM7729469_MN4_atac_fragments.tsv.gz	4673.7	GSE241468
GSM7729470	Female,_smoker,_subject1	GSM7729470_FS1_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729470/suppl/GSM7729470_FS1_atac_fragments.tsv.gz	4299.1	GSE241468
GSM7729471	Female,_smoker,_subject2	GSM7729471_FS2_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729471/suppl/GSM7729471_FS2_atac_fragments.tsv.gz	5421.8	GSE241468
GSM7729472	Female,_smoker,_subject3	GSM7729472_FS3_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729472/suppl/GSM7729472_FS3_atac_fragments.tsv.gz	4328.9	GSE241468
GSM7729473	Female,_smoker,_subject4	GSM7729473_FS4_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729473/suppl/GSM7729473_FS4_atac_fragments.tsv.gz	4478.2	GSE241468
GSM7729474	Female,_never-smoker,_subject1	GSM7729474_FN1_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729474/suppl/GSM7729474_FN1_atac_fragments.tsv.gz	4166.9	GSE241468
GSM7729475	Female,_never-smoker,_subject2	GSM7729475_FN2_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729475/suppl/GSM7729475_FN2_atac_fragments.tsv.gz	4114.5	GSE241468
GSM7729476	Female,_never-smoker,_subject3	GSM7729476_FN3_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729476/suppl/GSM7729476_FN3_atac_fragments.tsv.gz	2943.8	GSE241468
GSM7729477	Female,_never-smoker,_subject4	GSM7729477_FN4_atac_fragments.tsv.gz	atac_fragment	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7729nnn/GSM7729477/suppl/GSM7729477_FN4_atac_fragments.tsv.gz	3314.8	GSE241468
