name	type	era	results_folder	label	notebook	status	n_hidden	n_latent	decoder_type	decoder_weight_l2	dispersion_prior_mean	dispersion_prior_alpha	dispersion_init	burst_size_intercept	library_log_vars_weight	library_log_means_centering_sensitivity_rna	regularise_background	residual_library_encoder	library_obs_w_prior_rate	early_stopping_min_delta_per_feature	stratify_validation_key	max_epochs	exclude_datasets	notes
immune_integration_rna_dwl2_1	rna	4	results/immune_integration_rna_dwl2_1/model	Era 4, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_dwl2_1_out.ipynb	completed	1024	256		1.0	3.0	9.0			0.5	1.0	0
immune_integration_rna_embryo_es1	rna	3	results/immune_integration_rna_embryo_es1/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es1_out.ipynb	completed	1024	256		0.1	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2	rna	3	results/immune_integration_rna_embryo_es2/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_out.ipynb	completed	1024	256		0.1	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_ep47	rna	3	results/immune_integration_rna_embryo_es2_ep47/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_ep47_out.ipynb	completed	1024	256		0.1	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_ep47_small	rna	3	results/immune_integration_rna_embryo_es2_ep47_small/model	Era 3, h=512, l=128	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_ep47_small_out.ipynb	completed	512	128		0.1	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea	rna	3	results/immune_integration_rna_embryo_es2_no_tea/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_out.ipynb	completed	1024	256		0.1	3.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_disp1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_disp1/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_disp1_out.ipynb	completed	1024	256		0.1	1.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_disp1_dwl2_1/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_disp1_dwl2_1_out.ipynb	completed	1024	256		1.0	1.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_disp2	rna	3	results/immune_integration_rna_embryo_es2_no_tea_disp2/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_disp2_out.ipynb	completed	1024	256		0.1	2.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_disp2_dwl2_1/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_disp2_dwl2_1_out.ipynb	completed	1024	256		1.0	2.0	9.0			0.5	1.0	0	1	1.0
immune_integration_rna_embryo_es2_no_tea_dwl2_1	rna	3	results/immune_integration_rna_embryo_es2_no_tea_dwl2_1/model	Era 3, h=1024, l=256	docs/notebooks/immune_integration/bm_pbmc_rna_training_embryo_es2_no_tea_dwl2_1_out.ipynb	completed	1024	256		1.0	3.0	9.0			0.5	1.0	0	1	1.0
